id_precio_vinculante_combustible,fecha,id_combustible,id_unidad_medida,id_central_generacion,precio_vinculante_combustibles,fuente,observaciones,es_activo,created_at,updated_at,created_by,archivo_origen,fecha_carga,usuario_carga
06028840-2c63-40dd-b890-fa47140592ed,2017-08-02,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
0b1373dd-b2e1-46e5-858a-3bfeca7971ca,2017-08-03,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
5334a8fd-7834-4411-b514-12a133a72cc3,2017-08-04,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
b488662c-eee1-4c75-8d53-6e08a1f50a5c,2017-08-05,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
20e934c9-88ab-44d7-ae21-b91c329289be,2017-08-06,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
ada82e53-2566-4a94-b977-0d6ea662d4fc,2017-08-07,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
759c651b-eeea-4c34-8c01-8845ede58fb3,2017-08-08,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
235c57b7-692c-4e58-bf4a-bd529015c9ae,2017-08-09,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
1864ed25-e685-43a8-8fcf-82704afb3e31,2017-08-10,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
1b350b67-32eb-4831-b1be-92a0379fe7f0,2017-08-11,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
f52281d1-0ec2-4847-8b5b-fcdaa35a0a99,2017-08-12,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
807e33f6-45c9-40af-89ef-f76372a11999,2017-08-13,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
ae570f60-484f-4c02-baf2-345b735daf3a,2017-08-14,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
c7c782b2-8c5e-42fb-9ff3-f6d425df3634,2017-08-15,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
e0bcaa36-538f-483e-b9b3-c3f5f730d401,2017-08-16,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
e40ce05c-8fcc-439a-8ff0-89058ae70557,2017-08-17,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
af2e2852-e633-4a9a-ab63-ec75eaf1bf61,2017-08-18,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
fe5f651f-06be-4641-a005-7ede00fa703d,2017-08-19,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
2da467b0-520b-4fb6-9cad-f0bab9059cdc,2017-08-20,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
fdeeda75-10c8-4bca-9b52-735c3b7c32e6,2017-08-21,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
4e1bd6f4-342b-474c-9970-465dcf66678d,2017-08-22,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
24707078-b828-4d08-b964-d0419fc6c433,2017-08-23,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
d584dbe8-0d3d-4252-a16c-e73e2a4384a6,2017-08-24,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
1b4d6ce8-2412-43e9-a639-5b1f0b584ace,2017-08-25,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
c8415898-fd98-40d9-92bf-59ea887a2f22,2017-08-26,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
dfb94bd4-2022-4216-8fdf-1ee4b4e64f16,2017-08-27,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
